연번,시도명,시군구명,법정동명,관리번호,시설물명,세부위치,위도,경도,데이터기준일자,이미지명,비고
484,경기도,성남시 수정구,산성동,성남-rtbs-312,전신주,성남북초등학교 앞,37.450955,127.151413,2022.10.26,성남-rtbs-312-05.jpeg,
485,경기도,성남시 수정구,산성동,성남-rtbs-314,신호등,산성역 환승공영주차장앞,37.456382,127.150565,2022.10.27,성남-rtbs-314-01.jpeg,
486,경기도,성남시 수정구,산성동,성남-rtbs-314,이정표,산성역 환승공영주차장앞,37.456401,127.150521,2022.10.27,성남-rtbs-314-02.jpeg,
487,경기도,성남시 수정구,산성동,성남-rtbs-314,가로등,산성역 환승공영주차장앞,37.456411,127.150515,2022.10.27,성남-rtbs-314-03.jpeg,
488,경기도,성남시 중원구,도촌동,성남-rtbs-315,가로등,성남도촌동우체국 앞,37.416914,127.153105,2022.10.18,성남-rtbs-315-01.jpeg,
489,경기도,성남시 중원구,도촌동,성남-rtbs-316,신호등,도촌중학교 건물 뒤 ,37.417272,127.155086,2022.10.18,성남-rtbs-316-01.jpeg,
490,경기도,성남시 중원구,도촌동,성남-rtbs-317,신호등,도촌종합사회복지관 정문 앞,37.415211,127.159323,2022.10.18,성남-rtbs-317-01.jpeg,
491,경기도,성남시 중원구,도촌동,성남-rtbs-317,신호등,도촌종합사회복지관 정문 앞,37.415149,127.159351,2022.10.18,성남-rtbs-317-02.jpeg,
492,경기도,성남시 중원구,도촌동,성남-rtbs-319,신호등,으뜸이레가오피스텔 앞,37.415627,127.150713,2022.10.18,성남-rtbs-319-01.jpeg,
493,경기도,성남시 중원구,도촌동,성남-rtbs-319,교통신호제어기,으뜸이레가오피스텔 앞,37.415633,127.150718,2022.10.18,성남-rtbs-319-02.jpeg,
494,경기도,성남시 중원구,도촌동,성남-rtbs-319,신호등,으뜸이레가오피스텔 앞,37.415642,127.150729,2022.10.18,성남-rtbs-319-03.jpeg,
495,경기도,성남시 수정구,수진동,성남-rtbs-320,전봇대,현대청과야채 앞,37.440258,127.132263,2022.10.18,성남-rtbs-320-01.jpeg,
496,경기도,성남시 수정구,수진동,성남-rtbs-320,CCTV,현대청과야채 앞,37.440258,127.132255,2022.10.18,성남-rtbs-320-02.jpeg,
497,경기도,성남시 수정구,수진동,성남-rtbs-320,가로등,현대청과야채 앞,37.440264,127.132243,2022.10.18,성남-rtbs-320-03.jpeg,
